"","Andrena_spp","Apis_mellifera","Athalia_rosae","Autographa_gamma","Bombus_lapidarius","Bombus_pascuorum","bombus_soroeensis","Bombus_terrestris_agg","Chrysotoxum_bicinctum","Chrysotoxum_cautum","Coccinellidae","Conops_quadrifasciatus","Crambidae","Dasysyrphus_tricinctus","Drosophilidae","Episyrphus_balteatus","Eristalinus_sepulchralis","Eristalis_arbustorum","Eristalis_interrupta","Eristalis_intricaria","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Gonepteryx_rhamni","Halictidae","Helophilus_hybridus","Helophilus_pendulus","Helophilus_trivittatus","Leptinotarsa_decemlineata","Meligethes_sp","Meliscaeva_cinctella","Myathropa_florea","Oxytirea_funesta","Panorpa_sp","Platycheirus_sp","Pseudoanthidium_lituratum","Scaeva_pyrastri","Sericomyia_silentis","Sphaerophoria_scripta","Syritta_pipiens","Tipulidae","Vespa_crabro","Vespula_sp","Volucella_pellucens"
"Achillea_millefolium",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"Achillea_ptarmica",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,4,0,0,0,0
"Angelica_sylvestris",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",2,583,1,1,90,16,122,31,0,0,1,0,0,0,0,1,0,2,6,0,0,0,20,0,0,0,0,7,0,0,0,1,4,0,2,0,0,1,4,0,0,0,1,0
"Cirsium_canum",0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cirsium_palustre",0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,7,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,4,5,1,2,2,12,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,9,1,0,0,1,0
"Daucus_carota",0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Galium_album",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"Heracleum_sphondylium",0,0,17,0,0,0,0,0,1,0,4,0,0,0,0,3,0,5,1,0,3,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,7,0
"Hypericum_maculatum",0,120,1,0,2,2,2,7,0,0,0,0,0,1,0,14,0,1,9,0,3,0,11,0,3,0,2,4,0,0,15,0,0,0,8,0,3,0,14,6,0,0,1,0
"Lathyrus_pratensis",0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_hispidus",0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Leucanthemum_vulgare",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Lotus_corniculatus",0,14,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,49,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3,0,0,0,2,0,0,0,0,0,0,0,4,1,1,0,1,0,1,0,9,0,0,0,1,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118,0,2,0,1,0,0,0,5,0
"Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Prunella_vulgaris",0,2,0,0,1,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ranunculus_acris",0,5,4,0,1,1,3,1,0,0,1,0,1,0,1,13,0,2,1,0,0,1,10,0,21,0,6,2,0,20,5,0,0,0,13,1,0,0,179,3,1,0,0,0
"Ranunculus_flammula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0
"Sanguisorba_officinalis",0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,16,0,4,8,0,1,0,1,0,1,0,2,4,1,0,2,0,0,0,9,0,2,0,13,3,0,0,2,0
"Selinum_carvifolia",0,0,50,0,0,0,0,0,0,1,1,0,0,0,0,4,1,19,24,0,8,2,11,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0
"Serratula_tinctoria",0,2,0,0,5,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succisa_pratensis",0,3,0,1,1,4,1,0,0,0,0,5,0,0,0,0,0,2,47,1,1,1,60,0,0,1,12,7,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1
"Trifolium_hybridum",1,197,2,0,21,25,39,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0
"Trifolium_pratense",0,6,0,1,0,20,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trifolium_repens",1,51,0,0,7,20,31,10,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
