"","Adelidae","Aglais_urticae","Alticinae","Ammophila_sp","Anasimyia_lineata","Andrena_spp","Anthaxia_sp","Anthrax_anthrax","Apionidae","Apis_mellifera","Araschnia_levana","Athalia_rosae","Autographa_gamma","Boloria_dia","Bombus_bohemicus","Bombus_hortorum","Bombus_humilis","Bombus_hypnorum","Bombus_lapidarius","Bombus_pascuorum","Bombus_pratorum","Bombus_ruderarius","bombus_soroeensis","Bombus_sp","Bombus_sylvarum","Bombus_terrestris_agg","Ceratina_cyanea","Chalcosyrphus","Cheilosia_illustrata","Chloromyia_formosa","Chrysogaster_solstitialis","Chrysotoxum_bicinctum","Chrysotoxum_cautum","Chrysotoxum_festivum","Chrysotoxum_verralli","Coccinellidae","Coenonympha_pamphilus","Conops_quadrifasciatus","Coreidae","Crambidae","Cryptocephalus_sp","Dasysyrphus_albostriatus","Dasysyrphus_tricinctus","Dolichopodidae","Drosophilidae","Elateridae","Epeoloides_coecutiens","Epeoloides_sp","Episyrphus_balteatus","Eristalinus_aeneus","Eristalinus_sepulchralis","Eristalis_arbustorum","Eristalis_horticola","Eristalis_interrupta","Eristalis_interruptus","Eristalis_intricaria","Eristalis_jugorum","Eristalis_lineata_B","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Gonepteryx_rhamni","Halictidae","Helophilus_hybridus","Helophilus_pendulus","Helophilus_sp","Helophilus_trivittatus","Iphiclides_podalirius","Issoria_lathonia","Lagriinae","Lasiommata_megera","Leptinotarsa_decemlineata","Macropis_fulvipes","Maniola_jurtina","Megasyrphus_erraticus","Melanargia_galathea","Melanostoma_mellinum","Meligethes_sp","Meliscaeva_cinctella","Melitaea","metalicky_zbarvena_pestrenka","Miridae","Myathropa_florea","Nitidulidae","Nomada_sp","Nymphalidae","Orthonevra_nobilis","Oulema_sp","Oxytirea_funesta","Panorpa_sp","Paragus_sp","Phasia_barbifrons","Phasia_sp","Pieris_brassicae","Pieris_napi","Pieris_rapae","Pipizella","Platycheirus_albimanus","Platycheirus_sp","Pontia_edusa","Pseudoanthidium_lituratum","Psithyrus","Pyrophaena_granditarsis","Pyrophaena_rosarum","Rhingia_campestris","Scaeva_pyrastri","Sericomyia_silentis","Sicus_ferrugineus","Sphaerophoria_scripta","Staphylinidae","Stenurella_melanura","Stictoleptura_rubra","Stratiomyidae","Syritta_pipiens","Tenthredo_arcuata","Tenthredo_zonula","Thymelicus_sp","Thysanoptera","Tipulidae","Vanessa_atalanta","Vanessa_cardui","Vespa_crabro","Vespula_sp","Volucella_inanis","Volucella_pellucens","Volucella_zonaria","Xanthandrus_sp","Xylota_sp"
"Achillea_millefolium",0,1,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,12,2,3,0,0,0,0,0,0,0,0,0,0,23,0,1,22,1,54,8,0,0,0,3,0,17,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,1,1,0,0,0,0,0,11,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,340,0,25,0,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,2,1,0,0,4,0,0,1,10,0,5,1,1,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,13,41,1,1,2,0,0,0,0,0,0,0,0,10,22,0,222,0,30,57,0,0,2,37,4,0,0,1,8,72,1,47,0,0,2,0,0,0,3,0,0,6,41,1,0,0,4,7,6,1,0,0,0,0,0,0,1,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,541,0,1,0,0,355,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Angelica_sylvestris",0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Betonica_officinalis",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",0,9,0,0,0,9,0,0,0,0,1,1,24,13,1,2,1,0,0,0,2,4,225,8,10,185,0,0,0,0,1,2,0,0,0,10,108,9,0,3,6,0,1,0,0,0,1,5,21,0,0,6,0,28,37,8,0,0,7,0,283,0,7,20,67,8,351,0,17,1,0,0,0,42,0,0,2,3,0,3,1,38,4,1,2,1,0,0,9,1,0,0,0,15,15,50,0,1,7,1,0,0,0,1,2,3,28,3,87,0,1,0,0,0,0,0,9,0,1,0,1,1,1,0,0,0,0,0
"Cirisum_arvense",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_canum",0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,14,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,7,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",0,1,0,0,0,1,0,0,0,47,0,0,1,0,0,0,0,0,61,27,0,1,8,0,1,14,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,1,0,0,2,0,43,1,15,0,5,0,18,0,0,0,1,0,0,0,0,0,1,53,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,1,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,77,0,0,9,0,18,1,1,0,0,4,2,86,0,20,0,2,0,4,0,0,0,1,0,0,0,0,1,2,4044,0,0,0,0,1,1,0,0,0,1,0,5,1,0,0,0,0,1,0,0,18,0,0,0,0,0,0,5,0,0,343,0,0,0,0,1,1,0,7,0,0,0,0,0,1,0,0,0,0,0
"Cuscuta_europaea",0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,1,0,0,0,0,0,3,1,28,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,36,3,28,18,0,0,1,16,2,10,0,15,4,1,0,0,0,0,0,0,0,0,1,0,0,11,5,2,0,0,0,5,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,4,0,3,17,0,0,0,0,0,0,1,1,0,0,0,0,0
"Galium_album",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Galium_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium_uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geranium_pratense",0,1,0,0,0,0,0,0,0,319,0,0,1,0,0,0,0,0,191,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heracleum_sphondylium",0,0,0,8,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,13,0,0,0,33,0,1,0,0,0,0,2,0,0,2,0,0,132,0,0,10,0,13,0,0,1,0,5,0,18,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,82,12,10,0,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,9,0,0,82,0,3,1,1,7,62,10,0,0,0,0,0,2,47,0,0,0,0,1
"Hypericum_maculatum",1,0,0,0,0,0,0,0,0,242,0,1,0,0,0,0,0,0,28,3,0,0,2,0,0,22,0,0,0,0,2,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,68,2,0,8,1,28,1,0,0,0,4,0,25,0,7,0,4,0,5,0,0,0,0,0,0,0,0,0,8,14,17,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,2,1,0,0,22,0,0,0,0,0,0,4,0,0,67,0,1,0,0,18,1,0,0,20,0,0,0,0,1,0,0,0,0,0
"Hypericum_sp",0,0,0,0,0,1,1,0,0,57,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lathyrus_pratensis",0,1,0,0,0,0,0,0,0,77,0,0,1,0,0,0,0,0,12,143,0,0,22,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
